course_code,course_name,course_type
CSE 3200,System Development Project,Sessional
CSE 3209,Artificial Intelligence,Theory
CSE 3210,Artificial Intelligence Laboratory,Lab
CSE 3211,Compiler Design,Theory
CSE 3212,Compiler Design Laboratory,Lab
CSE 3217,Mobile Computing,Theory
CSE 3218,Mobile Computing Laboratory,Lab
CSE 3219,Software Engineering and Project Management,Theory
CSE 3220,Software Engineering and Project Management Laboratory,Lab
CSE 3230,Technical Writing and Seminar,Sessional
HUM 3247,Engineers and Society,Theory
